"visit_id","aggregate_visit_id","visit_date","store_id","agent_master_id"
"3006693_1176093_20260721","850311919_20260721_3886","21.07.2026 0:00:00","850311919","3006693"
"3006693_1176093_20260723","850311919_20260723_3886","23.07.2026 0:00:00","850311919","3006693"
"3006693_1176093_20260730","850311919_20260730_3886","30.07.2026 0:00:00","850311919","3006693"
"3006693_1510638_20260702","850321905_20260702_3886","02.07.2026 0:00:00","850321905","3006693"
"3006693_1510638_20260707","850321905_20260707_3886","07.07.2026 0:00:00","850321905","3006693"
"3006693_1510638_20260709","850321905_20260709_3886","09.07.2026 0:00:00","850321905","3006693"
"3006693_1510638_20260715","850321905_20260715_3886","15.07.2026 0:00:00","850321905","3006693"
"3006693_1510638_20260716","850321905_20260716_3886","16.07.2026 0:00:00","850321905","3006693"
"3006693_1510638_20260722","850321905_20260722_3886","22.07.2026 0:00:00","850321905","3006693"
"3006693_1510638_20260723","850321905_20260723_3886","23.07.2026 0:00:00","850321905","3006693"
"3006693_1510638_20260729","850321905_20260729_3886","29.07.2026 0:00:00","850321905","3006693"
"3006693_1510638_20260730","850321905_20260730_3886","30.07.2026 0:00:00","850321905","3006693"
"3006693_1514479_20260701","850322877_20260701_3886","01.07.2026 0:00:00","850322877","3006693"
"3006693_1514479_20260708","850322877_20260708_3886","08.07.2026 0:00:00","850322877","3006693"
"3006693_1514479_20260715","850322877_20260715_3886","15.07.2026 0:00:00","850322877","3006693"
"3006693_1514479_20260722","850322877_20260722_3886","22.07.2026 0:00:00","850322877","3006693"
"3006693_1514479_20260729","850322877_20260729_3886","29.07.2026 0:00:00","850322877","3006693"
"3006693_1620676_20260701","850325530_20260701_3886","01.07.2026 0:00:00","850325530","3006693"
"3006693_1620676_20260717","850325530_20260717_3886","17.07.2026 0:00:00","850325530","3006693"
"3006693_1620676_20260724","850325530_20260724_3886","24.07.2026 0:00:00","850325530","3006693"
"3006693_1620676_20260731","850325530_20260731_3886","31.07.2026 0:00:00","850325530","3006693"
"3006693_1624970_20260708","850326570_20260708_3886","08.07.2026 0:00:00","850326570","3006693"
"3006693_1624970_20260715","850326570_20260715_3886","15.07.2026 0:00:00","850326570","3006693"
"3006693_1624970_20260722","850326570_20260722_3886","22.07.2026 0:00:00","850326570","3006693"
"3006693_1624970_20260729","850326570_20260729_3886","29.07.2026 0:00:00","850326570","3006693"
"3006694_1130287_20260713","850128822_20260713_1116","13.07.2026 0:00:00","850128822","3006694"
"3006694_1130287_20260714","850128822_20260714_1116","14.07.2026 0:00:00","850128822","3006694"
"3006694_1130287_20260715","850128822_20260715_1116","15.07.2026 0:00:00","850128822","3006694"
"3006694_1130287_20260716","850128822_20260716_1116","16.07.2026 0:00:00","850128822","3006694"
"3006694_1130287_20260720","850128822_20260720_1116","20.07.2026 0:00:00","850128822","3006694"
"3006694_1130287_20260721","850128822_20260721_1116","21.07.2026 0:00:00","850128822","3006694"
